trial,reward,cost_usd,apiKeySource
bgl-alert-16891b3__GmK7Nej,0.833333,0.390014,ANTHROPIC_API_KEY
bgl-alert-bafd800__WyQ5scJ,0.833333,0.364430,ANTHROPIC_API_KEY
bgl-appsev-242c2ef__NYSRkQ5,0.833333,0.635059,ANTHROPIC_API_KEY
bgl-appsev-3d1528a__WMLJgtc,1.000000,0.455052,ANTHROPIC_API_KEY
bgl-appunav-f2aed4a__Prfr32n,0.916667,0.379201,ANTHROPIC_API_KEY
bgl-kerndtlb-5a2a76f__hbTSyUX,0.916667,0.243691,ANTHROPIC_API_KEY
bgl-kerndtlb-63d6cf6__E4qH74L,1.000000,0.506131,ANTHROPIC_API_KEY
bgl-kerndtlb-d0e7135__HVX2wMu,0.916667,0.310969,ANTHROPIC_API_KEY
bgl-kernmntf-119e173__8n9Fi5N,1.000000,0.345110,ANTHROPIC_API_KEY
bgl-kernmntf-1c3c5fd__9wFyVuw,1.000000,0.302980,ANTHROPIC_API_KEY
bgl-kernrtsp-fb570f9__veYASNb,1.000000,0.590428,ANTHROPIC_API_KEY
bgl-kernstor-2baf5ac__9rj5ARV,1.000000,0.355148,ANTHROPIC_API_KEY
bgl-kernstor-2c71dde__u4fvQq3,1.000000,0.438314,ANTHROPIC_API_KEY
bgl-kernterm-21769e2__ozU69VK,0.833333,0.383200,ANTHROPIC_API_KEY
bgl-kernterm-30d9b01__ogVHtSy,0.833333,0.400797,ANTHROPIC_API_KEY
corr-bgl-appsev-6a50dc5__zhBjU6v,0.818182,0.693581,ANTHROPIC_API_KEY
corr-bgl-kernstor-43f19b9__zRxfJRe,1.000000,0.246473,ANTHROPIC_API_KEY
corr-bgl-kernstor-5a8e0da__o65Z9N3,0.909091,0.435257,ANTHROPIC_API_KEY
corr-bgl-kernstor-6884c48__pvEG5QF,0.818182,0.275671,ANTHROPIC_API_KEY
corr-bgl-kernstor-e479137__tYokn2t,1.000000,0.248302,ANTHROPIC_API_KEY
corr-hadoop-machine-29cd40d__jAiaWew,0.727273,1.178911,ANTHROPIC_API_KEY
corr-hadoop-machine-3bec6ac__iDQxj24,0.727273,1.002877,ANTHROPIC_API_KEY
corr-hadoop-machine-585eb4a__5Msvf57,0.636364,0.594713,ANTHROPIC_API_KEY
corr-hadoop-machine-9886cdb__MtQp27Q,0.727273,1.326021,ANTHROPIC_API_KEY
corr-hadoop-machine-9c7168e__bphHm5z,0.636364,0.974329,ANTHROPIC_API_KEY
corr-hdfs-datanode-6c02c90__iHxLu36,0.909091,0.147537,ANTHROPIC_API_KEY
corr-hdfs-other-2015555__TJCSe3n,0.727273,0.175485,ANTHROPIC_API_KEY
corr-hdfs-other-7d149cc__Ud7CGmM,0.818182,0.154758,ANTHROPIC_API_KEY
corr-hdfs-other-835c307__QgfkfyD,0.909091,0.394398,ANTHROPIC_API_KEY
corr-hdfs-other-e2977c1__DJJfJ8i,0.727273,0.169886,ANTHROPIC_API_KEY
corr-thunderbird-vapi-4045e68__geiKHM6,1.000000,1.013048,ANTHROPIC_API_KEY
corr-thunderbird-vapi-4056ff1__TbfoDdH,0.909091,0.865064,ANTHROPIC_API_KEY
corr-thunderbird-vapi-78434c0__do3RwVw,0.818182,0.679332,ANTHROPIC_API_KEY
corr-thunderbird-vapi-936bcda__ZYMt9kC,1.000000,0.531494,ANTHROPIC_API_KEY
corr-thunderbird-vapi-9cb2ab3__wMf3qBq,0.818182,0.712318,ANTHROPIC_API_KEY
fp-bgl-noise-0cf70d1__73RLvGi,0.909091,0.660377,ANTHROPIC_API_KEY
fp-bgl-noise-1595526__rN4b4Ty,0.909091,0.481452,ANTHROPIC_API_KEY
fp-bgl-noise-315b89a__UoZ4HzZ,0.818182,0.688313,ANTHROPIC_API_KEY
fp-bgl-noise-369023f__P8HgK6q,0.818182,0.492166,ANTHROPIC_API_KEY
fp-bgl-noise-41b306a__sYoFhxr,0.818182,0.793492,ANTHROPIC_API_KEY
fp-hadoop-noise-0e5d28f__hKG7xqP,0.909091,0.675705,ANTHROPIC_API_KEY
fp-hadoop-noise-428a9ad__npaXTaN,0.818182,0.518932,ANTHROPIC_API_KEY
fp-hadoop-noise-42d5010__boh5weh,0.909091,0.588129,ANTHROPIC_API_KEY
fp-hadoop-noise-98bfd23__N3ci7uU,0.818182,0.465241,ANTHROPIC_API_KEY
fp-hadoop-noise-bf9fea3__6ULkk6Z,0.818182,0.612743,ANTHROPIC_API_KEY
fp-hdfs-noise-85ae5a1__TBFofD2,0.818182,0.366961,ANTHROPIC_API_KEY
fp-hdfs-noise-8bf17c1__Ji2J3se,0.818182,0.418847,ANTHROPIC_API_KEY
fp-hdfs-noise-940a32f__McpH7op,0.818182,0.468578,ANTHROPIC_API_KEY
fp-hdfs-noise-e50ccd2__Afr9JXZ,0.818182,0.499944,ANTHROPIC_API_KEY
