- 1131571440 2005.11.09 dn301 Nov 9 13:24:00 dn301/dn301 ntpd[32208]: synchronized to 10.100.24.250, stratum 3
- 1131571453 2005.11.09 dn33 Nov 9 13:24:13 dn33/dn33 ntpd[20344]: synchronized to 10.100.28.250, stratum 3
- 1131571457 2005.11.09 dn116 Nov 9 13:24:17 dn116/dn116 ntpd[6949]: synchronized to 10.100.26.250, stratum 3
- 1131571477 2005.11.09 dn691 Nov 9 13:24:37 dn691/dn691 ntpd[1364]: synchronized to 10.100.26.250, stratum 3
- 1131571477 2005.11.09 dn691 Nov 9 13:24:37 dn691/dn691 ntpd[1364]: synchronized to 10.100.28.250, stratum 3
- 1131571498 2005.11.09 dn648 Nov 9 13:24:58 dn648/dn648 ntpd[389]: synchronized to 10.100.28.250, stratum 3
- 1131571512 2005.11.09 dn101 Nov 9 13:25:12 dn101/dn101 ntpd[10843]: synchronized to 10.100.30.250, stratum 3
- 1131571516 2005.11.09 dn101 Nov 9 13:25:16 dn101/dn101 ntpd[10843]: synchronized to 10.100.24.250, stratum 3
- 1131571539 2005.11.09 dn333 Nov 9 13:25:39 dn333/dn333 ntpd[31107]: synchronized to 10.100.28.250, stratum 3
- 1131571554 2005.11.09 dn884 Nov 9 13:25:54 dn884/dn884 ntpd[2808]: synchronized to 10.100.26.250, stratum 3
- 1131571559 2005.11.09 dn920 Nov 9 13:25:59 dn920/dn920 ntpd[3722]: synchronized to 10.100.30.250, stratum 3
- 1131571560 2005.11.09 dn916 Nov 9 13:26:00 dn916/dn916 ntpd[3025]: synchronized to 10.100.24.250, stratum 3
- 1131571561 2005.11.09 dn246 Nov 9 13:26:01 dn246/dn246 ntpd[10151]: synchronized to 10.100.28.250, stratum 3
- 1131571564 2005.11.09 dn340 Nov 9 13:26:04 dn340/dn340 ntpd[31594]: synchronized to 10.100.24.250, stratum 3
- 1131571870 2005.11.09 dn703 Nov 9 13:31:10 dn703/dn703 ntpd[3586]: synchronized to 10.100.24.250, stratum 3
- 1131571893 2005.11.09 dn415 Nov 9 13:31:33 dn415/dn415 ntpd[32295]: synchronized to 10.100.30.250, stratum 3
- 1131571896 2005.11.09 dn805 Nov 9 13:31:36 dn805/dn805 ntpd[543]: synchronized to 10.100.24.250, stratum 3
- 1131571971 2005.11.09 dn302 Nov 9 13:32:51 dn302/dn302 ntpd[31657]: synchronized to 10.100.28.250, stratum 3
- 1131571977 2005.11.09 dn506 Nov 9 13:32:57 dn506/dn506 ntpd[31839]: synchronized to 10.100.30.250, stratum 3
- 1131572470 2005.11.09 dn495 Nov 9 13:41:10 dn495/dn495 ntpd[31895]: synchronized to 10.100.26.250, stratum 3
- 1131572486 2005.11.09 dn306 Nov 9 13:41:26 dn306/dn306 ntpd[25823]: synchronized to 10.100.28.250, stratum 3
- 1131572496 2005.11.09 dn202 Nov 9 13:41:36 dn202/dn202 ntpd[1709]: synchronized to 10.100.24.250, stratum 3
- 1131572515 2005.11.09 dn749 Nov 9 13:41:55 dn749/dn749 ntpd[31951]: synchronized to 10.100.24.250, stratum 3
- 1131572523 2005.11.09 dn470 Nov 9 13:42:03 dn470/dn470 ntpd[32285]: synchronized to 10.100.24.250, stratum 3
- 1131572533 2005.11.09 dn955 Nov 9 13:42:13 dn955/dn955 ntpd[32753]: synchronized to 10.100.28.250, stratum 3
- 1131572545 2005.11.09 dn234 Nov 9 13:42:25 dn234/dn234 ntpd[11132]: synchronized to 10.100.28.250, stratum 3
- 1131572559 2005.11.09 dn186 Nov 9 13:42:39 dn186/dn186 ntpd[11151]: synchronized to 10.100.30.250, stratum 3
- 1131572617 2005.11.09 dn495 Nov 9 13:43:37 dn495/dn495 ntpd[31895]: synchronized to 10.100.24.250, stratum 3
- 1131572617 2005.11.09 dn7 Nov 9 13:43:37 dn7/dn7 ntpd[19864]: synchronized to 10.100.26.250, stratum 3
- 1131572625 2005.11.09 dn922 Nov 9 13:43:45 dn922/dn922 ntpd[3845]: synchronized to 10.100.24.250, stratum 3
- 1131572632 2005.11.09 dn77 Nov 9 13:43:52 dn77/dn77 ntpd[9978]: synchronized to 10.100.24.250, stratum 3
- 1131572659 2005.11.09 dn77 Nov 9 13:44:19 dn77/dn77 ntpd[9978]: synchronized to 10.100.30.250, stratum 3
- 1131572668 2005.11.09 dn201 Nov 9 13:44:28 dn201/dn201 ntpd[11880]: synchronized to 10.100.26.250, stratum 3
- 1131572676 2005.11.09 dn271 Nov 9 13:44:36 dn271/dn271 ntpd[31956]: synchronized to 10.100.26.250, stratum 3
- 1131572690 2005.11.09 dn317 Nov 9 13:44:50 dn317/dn317 ntpd[31632]: synchronized to 10.100.24.250, stratum 3
- 1131572733 2005.11.09 dn706 Nov 9 13:45:33 dn706/dn706 ntpd[1211]: synchronized to 10.100.28.250, stratum 3
- 1131572761 2005.11.09 dn599 Nov 9 13:46:01 dn599/dn599 ntpd[682]: synchronized to 10.100.26.250, stratum 3
- 1131572803 2005.11.09 dn74 Nov 9 13:46:43 dn74/dn74 ntpd[20434]: synchronized to 10.100.28.250, stratum 3
- 1131572813 2005.11.09 dn372 Nov 9 13:46:53 dn372/dn372 ntpd[31110]: synchronized to 10.100.26.250, stratum 3
- 1131572816 2005.11.09 dn271 Nov 9 13:46:56 dn271/dn271 ntpd[31956]: synchronized to 10.100.24.250, stratum 3
- 1131572816 2005.11.09 dn928 Nov 9 13:46:56 dn928/dn928 ntpd[4065]: synchronized to 10.100.28.250, stratum 3
- 1131572821 2005.11.09 dn220 Nov 9 13:47:01 dn220/dn220 ntpd[11690]: synchronized to 10.100.24.250, stratum 3
- 1131572831 2005.11.09 dn722 Nov 9 13:47:11 dn722/dn722 ntpd[453]: synchronized to 10.100.30.250, stratum 3
- 1131572836 2005.11.09 dn753 Nov 9 13:47:16 dn753/dn753 ntpd[31783]: synchronized to 10.100.28.250, stratum 3
- 1131572846 2005.11.09 dn722 Nov 9 13:47:26 dn722/dn722 ntpd[453]: synchronized to 10.100.28.250, stratum 3
- 1131572891 2005.11.09 dn675 Nov 9 13:48:11 dn675/dn675 ntpd[1372]: synchronized to 10.100.26.250, stratum 3
- 1131572894 2005.11.09 dn703 Nov 9 13:48:14 dn703/dn703 ntpd[3586]: synchronized to 10.100.26.250, stratum 3
- 1131572900 2005.11.09 dn627 Nov 9 13:48:20 dn627/dn627 ntpd[32755]: synchronized to 10.100.26.250, stratum 3
- 1131572904 2005.11.09 dn783 Nov 9 13:48:24 dn783/dn783 ntpd[5650]: synchronized to 10.100.24.250, stratum 3
- 1131572920 2005.11.09 dn1011 Nov 9 13:48:40 dn1011/dn1011 ntpd[388]: synchronized to 10.100.28.250, stratum 3
- 1131572930 2005.11.09 dn677 Nov 9 13:48:50 dn677/dn677 ntpd[1601]: synchronized to 10.100.28.250, stratum 3
- 1131572952 2005.11.09 dn1007 Nov 9 13:49:12 dn1007/dn1007 ntpd[32496]: synchronized to 10.100.28.250, stratum 3
- 1131572953 2005.11.09 dn922 Nov 9 13:49:13 dn922/dn922 ntpd[3845]: synchronized to 10.100.28.250, stratum 3
- 1131572955 2005.11.09 dn511 Nov 9 13:49:15 dn511/dn511 ntpd[31256]: synchronized to 10.100.24.250, stratum 3
- 1131572979 2005.11.09 dn677 Nov 9 13:49:39 dn677/dn677 ntpd[1601]: synchronized to 10.100.26.250, stratum 3
- 1131573019 2005.11.09 dn901 Nov 9 13:50:19 dn901/dn901 ntpd[3798]: synchronized to 10.100.28.250, stratum 3
- 1131573020 2005.11.09 dn901 Nov 9 13:50:20 dn901/dn901 ntpd[3798]: synchronized to 10.100.24.250, stratum 3
- 1131573020 2005.11.09 dn901 Nov 9 13:50:20 dn901/dn901 ntpd[3798]: synchronized to 10.100.26.250, stratum 3
- 1131573021 2005.11.09 dn488 Nov 9 13:50:21 dn488/dn488 ntpd[32107]: synchronized to 10.100.30.250, stratum 3
- 1131573040 2005.11.09 dn470 Nov 9 13:50:40 dn470/dn470 ntpd[32285]: synchronized to 10.100.30.250, stratum 3
- 1131573061 2005.11.09 dn811 Nov 9 13:51:01 dn811/dn811 ntpd[657]: synchronized to 10.100.28.250, stratum 3
- 1131573114 2005.11.09 dn361 Nov 9 13:51:54 dn361/dn361 ntpd[31034]: synchronized to 10.100.24.250, stratum 3
- 1131573117 2005.11.09 dn927 Nov 9 13:51:57 dn927/dn927 ntpd[4090]: synchronized to 10.100.28.250, stratum 3
- 1131573123 2005.11.09 dn776 Nov 9 13:52:03 dn776/dn776 ntpd[864]: synchronized to 10.100.26.250, stratum 3
- 1131573126 2005.11.09 dn369 Nov 9 13:52:06 dn369/dn369 ntpd[32031]: synchronized to 10.100.28.250, stratum 3
- 1131573134 2005.11.09 dn681 Nov 9 13:52:14 dn681/dn681 ntpd[1318]: synchronized to 10.100.30.250, stratum 3
- 1131573138 2005.11.09 dn381 Nov 9 13:52:18 dn381/dn381 ntpd[32324]: synchronized to 10.100.24.250, stratum 3
- 1131573151 2005.11.09 dn626 Nov 9 13:52:31 dn626/dn626 ntpd[32731]: synchronized to 10.100.24.250, stratum 3
- 1131573159 2005.11.09 dn703 Nov 9 13:52:39 dn703/dn703 ntpd[3586]: synchronized to 10.100.28.250, stratum 3
- 1131573179 2005.11.09 dn136 Nov 9 13:52:59 dn136/dn136 ntpd[9931]: synchronized to 10.100.24.250, stratum 3
- 1131573189 2005.11.09 dn527 Nov 9 13:53:09 dn527/dn527 ntpd[31301]: synchronized to 10.100.30.250, stratum 3
- 1131573197 2005.11.09 dn267 Nov 9 13:53:17 dn267/dn267 ntpd[32703]: synchronized to 10.100.26.250, stratum 3
- 1131573197 2005.11.09 dn431 Nov 9 13:53:17 dn431/dn431 ntpd[31911]: synchronized to 10.100.26.250, stratum 3
- 1131573205 2005.11.09 dn795 Nov 9 13:53:25 dn795/dn795 ntpd[1690]: synchronized to 10.100.26.250, stratum 3
- 1131573206 2005.11.09 dn458 Nov 9 13:53:26 dn458/dn458 ntpd[32364]: synchronized to 10.100.24.250, stratum 3
- 1131573212 2005.11.09 dn372 Nov 9 13:53:32 dn372/dn372 ntpd[31110]: synchronized to 10.100.24.250, stratum 3
- 1131573224 2005.11.09 dn186 Nov 9 13:53:44 dn186/dn186 ntpd[11151]: synchronized to 10.100.28.250, stratum 3
- 1131573228 2005.11.09 dn368 Nov 9 13:53:48 dn368/dn368 ntpd[31332]: synchronized to 10.100.24.250, stratum 3
- 1131573228 2005.11.09 dn458 Nov 9 13:53:48 dn458/dn458 ntpd[32364]: synchronized to 10.100.26.250, stratum 3
- 1131573236 2005.11.09 dn511 Nov 9 13:53:56 dn511/dn511 ntpd[31256]: synchronized to 10.100.28.250, stratum 3
