- 1131568353 2005.11.09 cn710 Nov 9 12:32:33 cn710/cn710 ntpd[19103]: synchronized to 10.100.18.250, stratum 3
- 1131568354 2005.11.09 cn343 Nov 9 12:32:34 cn343/cn343 ntpd[12914]: synchronized to 10.100.16.250, stratum 3
- 1131568355 2005.11.09 cn33 Nov 9 12:32:35 cn33/cn33 ntpd[17565]: synchronized to 10.100.22.250, stratum 3
- 1131568357 2005.11.09 bn633 Nov 9 12:32:37 bn633/bn633 ntpd[23704]: synchronized to 10.100.18.250, stratum 3
- 1131568359 2005.11.09 bn419 Nov 9 12:32:39 bn419/bn419 ntpd[30455]: synchronized to 10.100.20.250, stratum 3
- 1131568359 2005.11.09 bn624 Nov 9 12:32:39 bn624/bn624 ntpd[11685]: synchronized to 10.100.16.250, stratum 3
- 1131568361 2005.11.09 cn824 Nov 9 12:32:41 cn824/cn824 ntpd[28608]: synchronized to 10.100.18.250, stratum 3
- 1131568362 2005.11.09 cn933 Nov 9 12:32:42 cn933/cn933 ntpd[29344]: synchronized to 10.100.16.250, stratum 3
- 1131568369 2005.11.09 cn257 Nov 9 12:32:49 cn257/cn257 ntpd[11354]: synchronized to 10.100.16.250, stratum 3
- 1131568369 2005.11.09 cn302 Nov 9 12:32:49 cn302/cn302 ntpd[23306]: synchronized to 10.100.16.250, stratum 3
- 1131568372 2005.11.09 bn483 Nov 9 12:32:52 bn483/bn483 ntpd[29542]: synchronized to 10.100.10.250, stratum 3
- 1131568376 2005.11.09 bn285 Nov 9 12:32:56 bn285/bn285 ntpd[23597]: synchronized to 10.100.12.250, stratum 3
- 1131568377 2005.11.09 bn106 Nov 9 12:32:57 bn106/bn106 ntpd[22697]: synchronized to 10.100.18.250, stratum 3
- 1131568379 2005.11.09 cn233 Nov 9 12:32:59 cn233/cn233 ntpd[9746]: synchronized to 10.100.18.250, stratum 3
- 1131568379 2005.11.09 cn74 Nov 9 12:32:59 cn74/cn74 ntpd[17700]: synchronized to 10.100.18.250, stratum 3
- 1131568380 2005.11.09 cn850 Nov 9 12:33:00 cn850/cn850 ntpd[28230]: synchronized to 10.100.16.250, stratum 3
- 1131568381 2005.11.09 cn446 Nov 9 12:33:01 cn446/cn446 ntpd[12193]: synchronized to 10.100.20.250, stratum 3
- 1131568383 2005.11.09 bn81 Nov 9 12:33:03 bn81/bn81 ntpd[22281]: synchronized to 10.100.18.250, stratum 3
- 1131568384 2005.11.09 cn185 Nov 9 12:33:04 cn185/cn185 ntpd[11130]: synchronized to 10.100.18.250, stratum 3
- 1131568385 2005.11.09 bn968 Nov 9 12:33:05 bn968/bn968 ntpd[15584]: synchronized to 10.100.16.250, stratum 3
- 1131568386 2005.11.09 bn47 Nov 9 12:33:06 bn47/bn47 ntpd[21837]: synchronized to 10.100.22.250, stratum 3
- 1131568387 2005.11.09 bn543 Nov 9 12:33:07 bn543/bn543 ntpd[29126]: synchronized to 10.100.16.250, stratum 3
- 1131568388 2005.11.09 bn418 Nov 9 12:33:08 bn418/bn418 ntpd[30032]: synchronized to 10.100.10.250, stratum 3
- 1131568388 2005.11.09 cn518 Nov 9 12:33:08 cn518/cn518 ntpd[15606]: synchronized to 10.100.22.250, stratum 3
- 1131568390 2005.11.09 bn912 Nov 9 12:33:10 bn912/bn912 ntpd[23918]: synchronized to 10.100.16.250, stratum 3
- 1131568391 2005.11.09 bn414 Nov 9 12:33:11 bn414/bn414 ntpd[28681]: synchronized to 10.100.18.250, stratum 3
- 1131568391 2005.11.09 bn962 Nov 9 12:33:11 bn962/bn962 ntpd[16075]: synchronized to 10.100.10.250, stratum 3
- 1131568391 2005.11.09 cn990 Nov 9 12:33:11 cn990/cn990 ntpd[18995]: synchronized to 10.100.22.250, stratum 3
- 1131568394 2005.11.09 cn688 Nov 9 12:33:14 cn688/cn688 ntpd[19262]: synchronized to 10.100.20.250, stratum 3
- 1131568397 2005.11.09 cn802 Nov 9 12:33:17 cn802/cn802 ntpd[28663]: synchronized to 10.100.20.250, stratum 3
- 1131568399 2005.11.09 bn304 Nov 9 12:33:19 bn304/bn304 ntpd[22868]: synchronized to 10.100.22.250, stratum 3
- 1131568399 2005.11.09 cn917 Nov 9 12:33:19 cn917/cn917 ntpd[29360]: synchronized to 10.100.16.250, stratum 3
- 1131568400 2005.11.09 cn160 Nov 9 12:33:20 cn160/cn160 ntpd[9830]: synchronized to 10.100.22.250, stratum 3
- 1131568401 2005.11.09 cn185 Nov 9 12:33:21 cn185/cn185 ntpd[11130]: synchronized to 10.100.16.250, stratum 3
- 1131568402 2005.11.09 cn171 Nov 9 12:33:22 cn171/cn171 ntpd[10050]: synchronized to 10.100.20.250, stratum 3
- 1131568402 2005.11.09 cn55 Nov 9 12:33:22 cn55/cn55 ntpd[15859]: synchronized to 10.100.18.250, stratum 3
- 1131568404 2005.11.09 cn34 Nov 9 12:33:24 cn34/cn34 ntpd[20478]: synchronized to 10.100.16.250, stratum 3
- 1131568404 2005.11.09 cn619 Nov 9 12:33:24 cn619/cn619 ntpd[18726]: synchronized to 10.100.16.250, stratum 3
- 1131568405 2005.11.09 bn822 Nov 9 12:33:25 bn822/bn822 ntpd[24887]: synchronized to 10.100.16.250, stratum 3
- 1131568406 2005.11.09 bn912 Nov 9 12:33:26 bn912/bn912 ntpd[23918]: synchronized to 10.100.20.250, stratum 3
- 1131568406 2005.11.09 cn835 Nov 9 12:33:26 cn835/cn835 ntpd[28019]: synchronized to 10.100.16.250, stratum 3
- 1131568409 2005.11.09 bn575 Nov 9 12:33:29 bn575/bn575 ntpd[2261]: synchronized to 10.100.14.250, stratum 3
- 1131568412 2005.11.09 bn890 Nov 9 12:33:32 bn890/bn890 ntpd[24682]: synchronized to 10.100.20.250, stratum 3
- 1131568412 2005.11.09 cn282 Nov 9 12:33:32 cn282/cn282 ntpd[12176]: synchronized to 10.100.22.250, stratum 3
- 1131568412 2005.11.09 cn47 Nov 9 12:33:32 cn47/cn47 ntpd[15445]: synchronized to 10.100.20.250, stratum 3
- 1131568415 2005.11.09 cn358 Nov 9 12:33:35 cn358/cn358 ntpd[9802]: synchronized to 10.100.16.250, stratum 3
- 1131568418 2005.11.09 bn815 Nov 9 12:33:38 bn815/bn815 ntpd[23074]: synchronized to 10.100.18.250, stratum 3
- 1131568418 2005.11.09 cn256 Nov 9 12:33:38 cn256/cn256 ntpd[10351]: synchronized to 10.100.18.250, stratum 3
- 1131568421 2005.11.09 bn589 Nov 9 12:33:41 bn589/bn589 ntpd[23163]: synchronized to 10.100.18.250, stratum 3
- 1131568421 2005.11.09 bn655 Nov 9 12:33:41 bn655/bn655 ntpd[23914]: synchronized to 10.100.20.250, stratum 3
- 1131568421 2005.11.09 cn840 Nov 9 12:33:41 cn840/cn840 ntpd[28070]: synchronized to 10.100.20.250, stratum 3
- 1131568422 2005.11.09 bn911 Nov 9 12:33:42 bn911/bn911 ntpd[24230]: synchronized to 10.100.20.250, stratum 3
- 1131568422 2005.11.09 cn529 Nov 9 12:33:42 cn529/cn529 ntpd[15941]: synchronized to 10.100.20.250, stratum 3
- 1131568422 2005.11.09 cn577 Nov 9 12:33:42 cn577/cn577 ntpd[19361]: synchronized to 10.100.16.250, stratum 3
- 1131568422 2005.11.09 cn67 Nov 9 12:33:42 cn67/cn67 ntpd[14606]: synchronized to 10.100.22.250, stratum 3
- 1131568422 2005.11.09 cn896 Nov 9 12:33:42 cn896/cn896 ntpd[27919]: synchronized to 10.100.18.250, stratum 3
- 1131568423 2005.11.09 bn992 Nov 9 12:33:43 bn992/bn992 ntpd[14343]: synchronized to 10.100.10.250, stratum 3
- 1131568425 2005.11.09 bn275 Nov 9 12:33:45 bn275/bn275 ntpd[23834]: synchronized to 10.100.22.250, stratum 3
- 1131568425 2005.11.09 bn79 Nov 9 12:33:45 bn79/bn79 ntpd[22348]: synchronized to 10.100.22.250, stratum 3
- 1131568430 2005.11.09 cn18 Nov 9 12:33:50 cn18/cn18 ntpd[25277]: synchronized to 10.100.16.250, stratum 3
- 1131568431 2005.11.09 cn999 Nov 9 12:33:51 cn999/cn999 ntpd[19394]: synchronized to 10.100.22.250, stratum 3
- 1131568433 2005.11.09 cn441 Nov 9 12:33:53 cn441/cn441 ntpd[11370]: synchronized to 10.100.18.250, stratum 3
- 1131568435 2005.11.09 cn154 Nov 9 12:33:55 cn154/cn154 ntpd[10227]: synchronized to 10.100.18.250, stratum 3
- 1131568440 2005.11.09 bn124 Nov 9 12:34:00 bn124/bn124 ntpd[22190]: synchronized to 10.100.16.250, stratum 3
- 1131568443 2005.11.09 bn161 Nov 9 12:34:03 bn161/bn161 ntpd[22774]: synchronized to 10.100.16.250, stratum 3
- 1131568444 2005.11.09 bn447 Nov 9 12:34:04 bn447/bn447 ntpd[29169]: synchronized to 10.100.16.250, stratum 3
- 1131568448 2005.11.09 cn709 Nov 9 12:34:08 cn709/cn709 ntpd[19295]: synchronized to 10.100.22.250, stratum 3
- 1131568451 2005.11.09 bn993 Nov 9 12:34:11 bn993/bn993 ntpd[14363]: synchronized to 10.100.8.250, stratum 3
- 1131568452 2005.11.09 bn401 Nov 9 12:34:12 bn401/bn401 ntpd[28876]: synchronized to 10.100.18.250, stratum 3
- 1131568455 2005.11.09 cn223 Nov 9 12:34:15 cn223/cn223 ntpd[9873]: synchronized to 10.100.18.250, stratum 3
- 1131568455 2005.11.09 cn343 Nov 9 12:34:15 cn343/cn343 ntpd[12914]: synchronized to 10.100.22.250, stratum 3
- 1131568455 2005.11.09 cn852 Nov 9 12:34:15 cn852/cn852 ntpd[28029]: synchronized to 10.100.16.250, stratum 3
