- 1131568353 2005.11.09 dn639 Nov 9 12:32:33 dn639/dn639 ntpd[905]: synchronized to 10.100.24.250, stratum 3
- 1131568358 2005.11.09 dn244 Nov 9 12:32:38 dn244/dn244 ntpd[9618]: synchronized to 10.100.24.250, stratum 3
- 1131568362 2005.11.09 dn998 Nov 9 12:32:42 dn998/dn998 ntpd[32567]: synchronized to 10.100.30.250, stratum 3
- 1131568363 2005.11.09 dn717 Nov 9 12:32:43 dn717/dn717 ntpd[1164]: synchronized to 10.100.24.250, stratum 3
- 1131568378 2005.11.09 dn560 Nov 9 12:32:58 dn560/dn560 ntpd[31505]: synchronized to 10.100.26.250, stratum 3
- 1131568382 2005.11.09 dn749 Nov 9 12:33:02 dn749/dn749 ntpd[31951]: synchronized to 10.100.28.250, stratum 3
- 1131568383 2005.11.09 dn670 Nov 9 12:33:03 dn670/dn670 ntpd[32568]: synchronized to 10.100.24.250, stratum 3
- 1131568386 2005.11.09 dn244 Nov 9 12:33:06 dn244/dn244 ntpd[9618]: synchronized to 10.100.28.250, stratum 3
- 1131568387 2005.11.09 dn558 Nov 9 12:33:07 dn558/dn558 ntpd[31931]: synchronized to 10.100.28.250, stratum 3
- 1131568405 2005.11.09 dn558 Nov 9 12:33:25 dn558/dn558 ntpd[31931]: synchronized to 10.100.26.250, stratum 3
- 1131568417 2005.11.09 dn539 Nov 9 12:33:37 dn539/dn539 ntpd[31693]: synchronized to 10.100.30.250, stratum 3
- 1131568432 2005.11.09 dn998 Nov 9 12:33:52 dn998/dn998 ntpd[32567]: synchronized to 10.100.24.250, stratum 3
- 1131568433 2005.11.09 dn532 Nov 9 12:33:53 dn532/dn532 ntpd[31559]: synchronized to 10.100.30.250, stratum 3
- 1131568449 2005.11.09 dn493 Nov 9 12:34:09 dn493/dn493 ntpd[31891]: synchronized to 10.100.24.250, stratum 3
- 1131568454 2005.11.09 dn186 Nov 9 12:34:14 dn186/dn186 ntpd[11151]: synchronized to 10.100.28.250, stratum 3
- 1131568465 2005.11.09 dn645 Nov 9 12:34:25 dn645/dn645 ntpd[950]: synchronized to 10.100.28.250, stratum 3
- 1131568467 2005.11.09 dn529 Nov 9 12:34:27 dn529/dn529 ntpd[31555]: synchronized to 10.100.24.250, stratum 3
- 1131568468 2005.11.09 dn140 Nov 9 12:34:28 dn140/dn140 ntpd[7737]: synchronized to 10.100.26.250, stratum 3
- 1131568480 2005.11.09 dn746 Nov 9 12:34:40 dn746/dn746 ntpd[32562]: synchronized to 10.100.24.250, stratum 3
- 1131568490 2005.11.09 dn111 Nov 9 12:34:50 dn111/dn111 ntpd[10665]: synchronized to 10.100.28.250, stratum 3
- 1131568515 2005.11.09 dn736 Nov 9 12:35:15 dn736/dn736 ntpd[1119]: synchronized to 10.100.26.250, stratum 3
- 1131568531 2005.11.09 dn557 Nov 9 12:35:31 dn557/dn557 ntpd[31472]: synchronized to 10.100.28.250, stratum 3
- 1131568537 2005.11.09 dn753 Nov 9 12:35:37 dn753/dn753 ntpd[31783]: synchronized to 10.100.26.250, stratum 3
- 1131568546 2005.11.09 dn533 Nov 9 12:35:46 dn533/dn533 ntpd[31731]: synchronized to 10.100.30.250, stratum 3
- 1131568559 2005.11.09 dn875 Nov 9 12:35:59 dn875/dn875 ntpd[2787]: synchronized to 10.100.26.250, stratum 3
