- 1131566463 2005.11.09 cn142 Nov 9 12:01:03 cn142/cn142 ntpd[7467]: synchronized to 10.100.20.250, stratum 3
- 1131566467 2005.11.09 cn46 Nov 9 12:01:07 cn46/cn46 ntpd[15291]: synchronized to 10.100.16.250, stratum 3
- 1131566470 2005.11.09 bn441 Nov 9 12:01:10 bn441/bn441 ntpd[28489]: synchronized to 10.100.18.250, stratum 3
- 1131566470 2005.11.09 cn661 Nov 9 12:01:10 cn661/cn661 ntpd[18505]: synchronized to 10.100.20.250, stratum 3
- 1131566473 2005.11.09 cn379 Nov 9 12:01:13 cn379/cn379 ntpd[10573]: synchronized to 10.100.18.250, stratum 3
- 1131566473 2005.11.09 cn733 Nov 9 12:01:13 cn733/cn733 ntpd[27716]: synchronized to 10.100.20.250, stratum 3
- 1131566474 2005.11.09 cn925 Nov 9 12:01:14 cn925/cn925 ntpd[29072]: synchronized to 10.100.22.250, stratum 3
- 1131566477 2005.11.09 cn543 Nov 9 12:01:17 cn543/cn543 ntpd[13785]: synchronized to 10.100.18.250, stratum 3
- 1131566478 2005.11.09 cn551 Nov 9 12:01:18 cn551/cn551 ntpd[15308]: synchronized to 10.100.22.250, stratum 3
- 1131566479 2005.11.09 bn431 Nov 9 12:01:19 bn431/bn431 ntpd[28723]: synchronized to 10.100.20.250, stratum 3
- 1131566484 2005.11.09 cn931 Nov 9 12:01:24 cn931/cn931 ntpd[29054]: synchronized to 10.100.20.250, stratum 3
- 1131566492 2005.11.09 cn615 Nov 9 12:01:32 cn615/cn615 ntpd[18517]: synchronized to 10.100.16.250, stratum 3
- 1131566493 2005.11.09 cn566 Nov 9 12:01:33 cn566/cn566 ntpd[18010]: synchronized to 10.100.22.250, stratum 3
- 1131566494 2005.11.09 cn728 Nov 9 12:01:34 cn728/cn728 ntpd[28511]: synchronized to 10.100.20.250, stratum 3
- 1131566496 2005.11.09 cn980 Nov 9 12:01:36 cn980/cn980 ntpd[19676]: synchronized to 10.100.20.250, stratum 3
- 1131566500 2005.11.09 cn822 Nov 9 12:01:40 cn822/cn822 ntpd[28661]: synchronized to 10.100.20.250, stratum 3
- 1131566502 2005.11.09 bn999 Nov 9 12:01:42 bn999/bn999 ntpd[14515]: synchronized to 10.100.18.250, stratum 3
- 1131566506 2005.11.09 cn296 Nov 9 12:01:46 cn296/cn296 ntpd[24199]: synchronized to 10.100.20.250, stratum 3
- 1131566509 2005.11.09 bn999 Nov 9 12:01:49 bn999/bn999 ntpd[14515]: synchronized to 10.100.20.250, stratum 3
- 1131566510 2005.11.09 bn132 Nov 9 12:01:50 bn132/bn132 ntpd[22316]: synchronized to 10.100.20.250, stratum 3
- 1131566510 2005.11.09 bn874 Nov 9 12:01:50 bn874/bn874 ntpd[25657]: synchronized to 10.100.18.250, stratum 3
- 1131566510 2005.11.09 bn946 Nov 9 12:01:50 bn946/bn946 ntpd[15562]: synchronized to 10.100.18.250, stratum 3
- 1131566515 2005.11.09 cn633 Nov 9 12:01:55 cn633/cn633 ntpd[18665]: synchronized to 10.100.22.250, stratum 3
- 1131566517 2005.11.09 bn825 Nov 9 12:01:57 bn825/bn825 ntpd[23041]: synchronized to 10.100.16.250, stratum 3
- 1131566518 2005.11.09 cn808 Nov 9 12:01:58 cn808/cn808 ntpd[28601]: synchronized to 10.100.22.250, stratum 3
