- 1131566461 2005.11.09 dn228 Nov 9 12:01:01 dn228/dn228 crond(pam_unix)[2915]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn228 Nov 9 12:01:01 dn228/dn228 crond[2916]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn261 Nov 9 12:01:01 dn261/dn261 crond(pam_unix)[2907]: session closed for user root
- 1131566461 2005.11.09 dn261 Nov 9 12:01:01 dn261/dn261 crond(pam_unix)[2907]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn261 Nov 9 12:01:01 dn261/dn261 crond[2908]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn3 Nov 9 12:01:01 dn3/dn3 crond(pam_unix)[2907]: session closed for user root
- 1131566461 2005.11.09 dn3 Nov 9 12:01:01 dn3/dn3 crond(pam_unix)[2907]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn3 Nov 9 12:01:01 dn3/dn3 crond[2908]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn596 Nov 9 12:01:01 dn596/dn596 crond(pam_unix)[2727]: session closed for user root
- 1131566461 2005.11.09 dn596 Nov 9 12:01:01 dn596/dn596 crond(pam_unix)[2727]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn596 Nov 9 12:01:01 dn596/dn596 crond[2728]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn700 Nov 9 12:01:01 dn700/dn700 crond(pam_unix)[2912]: session closed for user root
- 1131566461 2005.11.09 dn700 Nov 9 12:01:01 dn700/dn700 crond(pam_unix)[2912]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn700 Nov 9 12:01:01 dn700/dn700 crond[2913]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn73 Nov 9 12:01:01 dn73/dn73 crond(pam_unix)[2917]: session closed for user root
- 1131566461 2005.11.09 dn73 Nov 9 12:01:01 dn73/dn73 crond(pam_unix)[2917]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn73 Nov 9 12:01:01 dn73/dn73 crond[2918]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn731 Nov 9 12:01:01 dn731/dn731 crond(pam_unix)[2916]: session closed for user root
- 1131566461 2005.11.09 dn731 Nov 9 12:01:01 dn731/dn731 crond(pam_unix)[2916]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn731 Nov 9 12:01:01 dn731/dn731 crond[2917]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn754 Nov 9 12:01:01 dn754/dn754 crond(pam_unix)[2913]: session closed for user root
- 1131566461 2005.11.09 dn754 Nov 9 12:01:01 dn754/dn754 crond(pam_unix)[2913]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn754 Nov 9 12:01:01 dn754/dn754 crond[2914]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn978 Nov 9 12:01:01 dn978/dn978 crond(pam_unix)[2920]: session closed for user root
- 1131566461 2005.11.09 dn978 Nov 9 12:01:01 dn978/dn978 crond(pam_unix)[2920]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn978 Nov 9 12:01:01 dn978/dn978 crond[2921]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566463 2005.11.09 dn1021 Nov 9 12:01:03 dn1021/dn1021 ntpd[32563]: synchronized to 10.100.28.250, stratum 3
- 1131566463 2005.11.09 dn736 Nov 9 12:01:03 dn736/dn736 ntpd[1119]: synchronized to 10.100.24.250, stratum 3
- 1131566471 2005.11.09 dn393 Nov 9 12:01:11 dn393/dn393 ntpd[4696]: synchronized to 10.100.26.250, stratum 3
- 1131566478 2005.11.09 dn360 Nov 9 12:01:18 dn360/dn360 ntpd[30984]: synchronized to 10.100.28.250, stratum 3
- 1131566480 2005.11.09 dn77 Nov 9 12:01:20 dn77/dn77 ntpd[9978]: synchronized to 10.100.24.250, stratum 3
- 1131566488 2005.11.09 dn557 Nov 9 12:01:28 dn557/dn557 ntpd[31472]: synchronized to 10.100.26.250, stratum 3
- 1131566488 2005.11.09 dn943 Nov 9 12:01:28 dn943/dn943 ntpd[3570]: synchronized to 10.100.26.250, stratum 3
- 1131566503 2005.11.09 dn77 Nov 9 12:01:43 dn77/dn77 ntpd[9978]: synchronized to 10.100.30.250, stratum 3
- 1131566508 2005.11.09 dn233 Nov 9 12:01:48 dn233/dn233 ntpd[11151]: synchronized to 10.100.30.250, stratum 3
- 1131566518 2005.11.09 dn338 Nov 9 12:01:58 dn338/dn338 ntpd[31526]: synchronized to 10.100.28.250, stratum 3
- 1131566523 2005.11.09 dn233 Nov 9 12:02:03 dn233/dn233 ntpd[11151]: synchronized to 10.100.24.250, stratum 3
- 1131566529 2005.11.09 dn345 Nov 9 12:02:09 dn345/dn345 ntpd[32322]: synchronized to 10.100.30.250, stratum 3
- 1131566542 2005.11.09 dn752 Nov 9 12:02:22 dn752/dn752 ntpd[31276]: synchronized to 10.100.30.250, stratum 3
- 1131566553 2005.11.09 dn907 Nov 9 12:02:33 dn907/dn907 ntpd[3975]: synchronized to 10.100.28.250, stratum 3
- 1131566619 2005.11.09 dn235 Nov 9 12:03:39 dn235/dn235 ntpd[11149]: synchronized to 10.100.24.250, stratum 3
- 1131566624 2005.11.09 dn276 Nov 9 12:03:44 dn276/dn276 ntpd[1773]: synchronized to 10.100.28.250, stratum 3
- 1131566631 2005.11.09 dn515 Nov 9 12:03:51 dn515/dn515 ntpd[31947]: synchronized to 10.100.28.250, stratum 3
- 1131566644 2005.11.09 dn428 Nov 9 12:04:04 dn428/dn428 ntpd[32524]: synchronized to 10.100.30.250, stratum 3
- 1131566649 2005.11.09 dn74 Nov 9 12:04:09 dn74/dn74 ntpd[20434]: synchronized to 10.100.28.250, stratum 3
- 1131566657 2005.11.09 dn37 Nov 9 12:04:17 dn37/dn37 ntpd[19909]: synchronized to 10.100.28.250, stratum 3
- 1131566667 2005.11.09 dn356 Nov 9 12:04:27 dn356/dn356 ntpd[32234]: synchronized to 10.100.26.250, stratum 3
- 1131566686 2005.11.09 dn891 Nov 9 12:04:46 dn891/dn891 ntpd[2854]: synchronized to 10.100.28.250, stratum 3
- 1131566692 2005.11.09 dn952 Nov 9 12:04:52 dn952/dn952 ntpd[1659]: synchronized to 10.100.28.250, stratum 3
- 1131566696 2005.11.09 dn428 Nov 9 12:04:56 dn428/dn428 ntpd[32524]: synchronized to 10.100.24.250, stratum 3
- 1131566712 2005.11.09 dn386 Nov 9 12:05:12 dn386/dn386 ntpd[330]: synchronized to 10.100.30.250, stratum 3
- 1131566713 2005.11.09 dn354 Nov 9 12:05:13 dn354/dn354 ntpd[32234]: synchronized to 10.100.28.250, stratum 3
- 1131566716 2005.11.09 dn406 Nov 9 12:05:16 dn406/dn406 ntpd[31933]: synchronized to 10.100.28.250, stratum 3
