1137585740 2006.01.18 bn398 Jan 18 04:02:20 bn398/bn398 sendmail[31373]: My unqualified host name (bn398) unknown; sleeping for retry
1137585740 2006.01.18 bn425 Jan 18 04:02:20 bn425/bn425 sendmail[31825]: My unqualified host name (bn425) unknown; sleeping for retry
1137585740 2006.01.18 bn440 Jan 18 04:02:20 bn440/bn440 sendmail[32314]: My unqualified host name (bn440) unknown; sleeping for retry
1137585740 2006.01.18 bn478 Jan 18 04:02:20 bn478/bn478 sendmail[32086]: My unqualified host name (bn478) unknown; sleeping for retry
1137585740 2006.01.18 bn501 Jan 18 04:02:20 bn501/bn501 Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0
1137585740 2006.01.18 bn501 Jan 18 04:02:20 bn501/bn501 snmpd[8547]: Got trap from peer on fd 13
1137585740 2006.01.18 bn514 Jan 18 04:02:20 bn514/bn514 sendmail[28575]: My unqualified host name (bn514) unknown; sleeping for retry
1137585740 2006.01.18 bn526 Jan 18 04:02:20 bn526/bn526 sendmail[3566]: My unqualified host name (bn526) unknown; sleeping for retry
1137585740 2006.01.18 bn549 Jan 18 04:02:20 bn549/bn549 sendmail[3515]: My unqualified host name (bn549) unknown; sleeping for retry
1137585740 2006.01.18 bn556 Jan 18 04:02:20 bn556/bn556 sendmail[31732]: My unqualified host name (bn556) unknown; sleeping for retry
1137585740 2006.01.18 bn589 Jan 18 04:02:20 bn589/bn589 sendmail[3515]: My unqualified host name (bn589) unknown; sleeping for retry
1137585740 2006.01.18 bn599 Jan 18 04:02:20 bn599/bn599 sendmail[28590]: My unqualified host name (bn599) unknown; sleeping for retry
1137585740 2006.01.18 bn603 Jan 18 04:02:20 bn603/bn603 sendmail[32082]: My unqualified host name (bn603) unknown; sleeping for retry
1137585740 2006.01.18 bn641 Jan 18 04:02:20 bn641/bn641 sendmail[32034]: My unqualified host name (bn641) unknown; sleeping for retry
1137585740 2006.01.18 bn642 Jan 18 04:02:20 bn642/bn642 sendmail[3499]: My unqualified host name (bn642) unknown; sleeping for retry
1137585740 2006.01.18 bn673 Jan 18 04:02:20 bn673/bn673 sendmail[32051]: My unqualified host name (bn673) unknown; sleeping for retry
1137585740 2006.01.18 bn699 Jan 18 04:02:20 bn699/bn699 sendmail[3502]: My unqualified host name (bn699) unknown; sleeping for retry
1137585740 2006.01.18 bn745 Jan 18 04:02:20 bn745/bn745 sendmail[30392]: My unqualified host name (bn745) unknown; sleeping for retry
1137585740 2006.01.18 bn751 Jan 18 04:02:20 bn751/bn751 sendmail[32332]: My unqualified host name (bn751) unknown; sleeping for retry
1137585740 2006.01.18 bn76 Jan 18 04:02:20 bn76/bn76 sendmail[30447]: My unqualified host name (bn76) unknown; sleeping for retry
1137585740 2006.01.18 bn769 Jan 18 04:02:20 bn769/bn769 sendmail[31976]: My unqualified host name (bn769) unknown; sleeping for retry
1137585740 2006.01.18 bn780 Jan 18 04:02:20 bn780/bn780 sendmail[27388]: My unqualified host name (bn780) unknown; sleeping for retry
1137585740 2006.01.18 bn798 Jan 18 04:02:20 bn798/bn798 sendmail[31985]: My unqualified host name (bn798) unknown; sleeping for retry
1137585740 2006.01.18 bn812 Jan 18 04:02:20 bn812/bn812 sendmail[31978]: My unqualified host name (bn812) unknown; sleeping for retry
1137585740 2006.01.18 bn822 Jan 18 04:02:20 bn822/bn822 sendmail[32338]: My unqualified host name (bn822) unknown; sleeping for retry
1137585740 2006.01.18 bn83 Jan 18 04:02:20 bn83/bn83 sendmail[31694]: My unqualified host name (bn83) unknown; sleeping for retry
1137585740 2006.01.18 bn831 Jan 18 04:02:20 bn831/bn831 sendmail[31993]: My unqualified host name (bn831) unknown; sleeping for retry
1137585740 2006.01.18 bn846 Jan 18 04:02:20 bn846/bn846 sendmail[32306]: My unqualified host name (bn846) unknown; sleeping for retry
1137585740 2006.01.18 bn851 Jan 18 04:02:20 bn851/bn851 sendmail[32288]: My unqualified host name (bn851) unknown; sleeping for retry
1137585740 2006.01.18 bn86 Jan 18 04:02:20 bn86/bn86 sendmail[30448]: My unqualified host name (bn86) unknown; sleeping for retry
1137585740 2006.01.18 bn891 Jan 18 04:02:20 bn891/bn891 sendmail[31748]: My unqualified host name (bn891) unknown; sleeping for retry
1137585740 2006.01.18 bn920 Jan 18 04:02:20 bn920/bn920 sendmail[32124]: My unqualified host name (bn920) unknown; sleeping for retry
