1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.117038 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.172364 R20-M0-NC NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.179945 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.185362 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J02 do not match. VPD ecid 04C18203C02FFFFF030E1B308ED8, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.190068 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J02 do not match. VPD ecid 04D78203212FFFFF0C0E1B6050DD, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.268673 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.271292 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.276735 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J03 do not match. VPD ecid 04C18203C02FFFFF0E0A1AB08AD0, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.282382 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J03 do not match. VPD ecid 04E38202962FFFFF0A0F1AD08ED2, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.287554 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.289933 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M1-N9 2005-08-02-18.03.59.351716 R20-M1-N9 NULL DISCOVERY WARNING Node card is not fully functional
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.355207 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J04 do not match. VPD ecid 04E28203C32FFFFF06051B2048D8, found 0000000000000000000000000000
