1127108422 2005.09.18 R57-M0-N4-I:J18-U01 2005-09-18-22.40.22.377857 R57-M0-N4-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108422 2005.09.18 R57-M1-N4-I:J18-U11 2005-09-18-22.40.22.485573 R57-M1-N4-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108422 2005.09.18 R57-M1-N4-I:J18-U01 2005-09-18-22.40.22.599685 R57-M1-N4-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108422 2005.09.18 R57-M0-N0-I:J18-U11 2005-09-18-22.40.22.700749 R57-M0-N0-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108422 2005.09.18 R57-M0-N0-I:J18-U01 2005-09-18-22.40.22.802621 R57-M0-N0-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108422 2005.09.18 R57-M0-NC-I:J18-U01 2005-09-18-22.40.22.910202 R57-M0-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R57-M1-N0-I:J18-U11 2005-09-18-22.40.23.006401 R57-M1-N0-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R57-M1-N0-I:J18-U01 2005-09-18-22.40.23.101797 R57-M1-N0-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R42-M0-N8-I:J18-U11 2005-09-18-22.40.23.196893 R42-M0-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R42-M0-N8-I:J18-U01 2005-09-18-22.40.23.293096 R42-M0-N8-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R57-M1-NC-I:J18-U11 2005-09-18-22.40.23.389124 R57-M1-NC-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R57-M1-NC-I:J18-U01 2005-09-18-22.40.23.484676 R57-M1-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R42-M1-N4-I:J18-U11 2005-09-18-22.40.23.580151 R42-M1-N4-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R42-M1-N4-I:J18-U01 2005-09-18-22.40.23.682182 R42-M1-N4-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108424 2005.09.18 R45-M0-NC-I:J18-U11 2005-09-18-22.40.24.741828 R45-M0-NC-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R57-M1-N8-I:J18-U11 2005-09-18-22.40.25.208323 R57-M1-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R57-M1-N8-I:J18-U01 2005-09-18-22.40.25.244132 R57-M1-N8-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R42-M0-NC-I:J18-U11 2005-09-18-22.40.25.280225 R42-M0-NC-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R42-M0-NC-I:J18-U01 2005-09-18-22.40.25.316020 R42-M0-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108426 2005.09.18 R57-M0-N8-I:J18-U11 2005-09-18-22.40.26.579173 R57-M0-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108426 2005.09.18 R54-M0-NC-I:J18-U11 2005-09-18-22.40.26.681006 R54-M0-NC-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108426 2005.09.18 R54-M0-NC-I:J18-U01 2005-09-18-22.40.26.782439 R54-M0-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108427 2005.09.18 R54-M0-N8-I:J18-U01 2005-09-18-22.40.27.189234 R54-M0-N8-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108611 2005.09.18 R54-M1-N0-I:J18-U11 2005-09-18-22.43.31.649449 R54-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108611 2005.09.18 R54-M1-N0-I:J18-U01 2005-09-18-22.43.31.751618 R54-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108611 2005.09.18 R54-M1-N8-I:J18-U11 2005-09-18-22.43.31.859269 R54-M1-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108611 2005.09.18 R54-M1-N8-I:J18-U01 2005-09-18-22.43.31.961032 R54-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R54-M0-N4-I:J18-U11 2005-09-18-22.43.32.894083 R54-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R54-M0-N4-I:J18-U01 2005-09-18-22.43.32.995721 R54-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108613 2005.09.18 R54-M0-N0-I:J18-U11 2005-09-18-22.43.33.103238 R54-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108613 2005.09.18 R54-M0-N0-I:J18-U01 2005-09-18-22.43.33.205779 R54-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108615 2005.09.18 R51-M1-N0-I:J18-U11 2005-09-18-22.43.35.215724 R51-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108615 2005.09.18 R51-M1-N0-I:J18-U01 2005-09-18-22.43.35.317757 R51-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108615 2005.09.18 R51-M1-NC-I:J18-U11 2005-09-18-22.43.35.634946 R51-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108615 2005.09.18 R51-M1-NC-I:J18-U01 2005-09-18-22.43.35.736721 R51-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108615 2005.09.18 R54-M1-NC-I:J18-U11 2005-09-18-22.43.35.838281 R54-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108615 2005.09.18 R54-M1-NC-I:J18-U01 2005-09-18-22.43.35.939644 R54-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108616 2005.09.18 R54-M1-N4-I:J18-U11 2005-09-18-22.43.36.041907 R54-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108616 2005.09.18 R54-M1-N4-I:J18-U01 2005-09-18-22.43.36.150041 R54-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108616 2005.09.18 R51-M1-N4-I:J18-U11 2005-09-18-22.43.36.610295 R51-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108616 2005.09.18 R51-M1-N4-I:J18-U01 2005-09-18-22.43.36.642825 R51-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108617 2005.09.18 R45-M1-N8-I:J18-U11 2005-09-18-22.43.37.903388 R45-M1-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108617 2005.09.18 R45-M1-N8-I:J18-U01 2005-09-18-22.43.37.938440 R45-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108617 2005.09.18 R45-M0-N8-I:J18-U11 2005-09-18-22.43.37.974538 R45-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108618 2005.09.18 R45-M0-N8-I:J18-U01 2005-09-18-22.43.38.016568 R45-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108618 2005.09.18 R45-M1-N4-I:J18-U11 2005-09-18-22.43.38.052384 R45-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
