1127108420 2005.09.18 R41-M0-N0-I:J18-U11 2005-09-18-22.40.20.816123 R41-M0-N0-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108420 2005.09.18 R41-M0-N0-I:J18-U01 2005-09-18-22.40.20.845361 R41-M0-N0-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108421 2005.09.18 R56-M1-N8-I:J18-U11 2005-09-18-22.40.21.396675 R56-M1-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108421 2005.09.18 R50-M1-NC-I:J18-U01 2005-09-18-22.40.21.504913 R50-M1-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108421 2005.09.18 R47-M0-N0-I:J18-U11 2005-09-18-22.40.21.612119 R47-M0-N0-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108421 2005.09.18 R41-M1-N8-I:J18-U01 2005-09-18-22.40.21.845543 R41-M1-N8-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R47-M1-N4-I:J18-U11 2005-09-18-22.40.23.879532 R47-M1-N4-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108423 2005.09.18 R47-M1-NC-I:J18-U01 2005-09-18-22.40.23.975204 R47-M1-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108424 2005.09.18 R47-M1-N8-I:J18-U11 2005-09-18-22.40.24.850014 R47-M1-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108424 2005.09.18 R47-M1-N8-I:J18-U01 2005-09-18-22.40.24.962643 R47-M1-N8-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R47-M1-N0-I:J18-U01 2005-09-18-22.40.25.172730 R47-M1-N0-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R50-M0-N8-I:J18-U11 2005-09-18-22.40.25.507243 R50-M0-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R50-M0-N8-I:J18-U01 2005-09-18-22.40.25.556785 R50-M0-N8-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R50-M1-N4-I:J18-U11 2005-09-18-22.40.25.663540 R50-M1-N4-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108425 2005.09.18 R50-M1-N4-I:J18-U01 2005-09-18-22.40.25.777523 R50-M1-N4-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108426 2005.09.18 R50-M1-N8-I:J18-U11 2005-09-18-22.40.26.263125 R50-M1-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/HPCC_IBM/TomandJeff/bin/tested_copro) failed: No such file or directory
1127108611 2005.09.18 R41-M1-N0-I:J18-U11 2005-09-18-22.43.31.158601 R41-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108611 2005.09.18 R41-M1-N0-I:J18-U01 2005-09-18-22.43.31.194114 R41-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108611 2005.09.18 R41-M0-NC-I:J18-U11 2005-09-18-22.43.31.236418 R41-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108611 2005.09.18 R41-M0-NC-I:J18-U01 2005-09-18-22.43.31.344571 R41-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108611 2005.09.18 R41-M1-N4-I:J18-U11 2005-09-18-22.43.31.446056 R41-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108611 2005.09.18 R41-M1-N4-I:J18-U01 2005-09-18-22.43.31.547825 R41-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R53-M0-N4-I:J18-U11 2005-09-18-22.43.32.062141 R53-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R53-M0-N4-I:J18-U01 2005-09-18-22.43.32.163748 R53-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R41-M0-N8-I:J18-U11 2005-09-18-22.43.32.265970 R41-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R41-M0-N8-I:J18-U01 2005-09-18-22.43.32.367589 R41-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R41-M0-N4-I:J18-U11 2005-09-18-22.43.32.475575 R41-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R41-M0-N4-I:J18-U01 2005-09-18-22.43.32.577146 R41-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R53-M0-NC-I:J18-U11 2005-09-18-22.43.32.683820 R53-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108612 2005.09.18 R53-M0-NC-I:J18-U01 2005-09-18-22.43.32.792720 R53-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108613 2005.09.18 R56-M0-N0-I:J18-U11 2005-09-18-22.43.33.300786 R56-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
1127108613 2005.09.18 R56-M0-N0-I:J18-U01 2005-09-18-22.43.33.408597 R56-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts: invalid or missing program image, Permission denied
