- 1152232683 2006.07.06 dn603 Jul 6 17:38:03 dn603/dn603 ntpd[2289]: synchronized to 10.100.30.250, stratum 3
- 1152232683 2006.07.06 dn889 Jul 6 17:38:03 dn889/dn889 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1152232687 2006.07.06 dn689 Jul 6 17:38:07 dn689/dn689 ntpd[2286]: synchronized to 10.100.30.250, stratum 3
- 1152232689 2006.07.06 dn505 Jul 6 17:38:09 dn505/dn505 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1152232690 2006.07.06 dn361 Jul 6 17:38:10 dn361/dn361 ntpd[2291]: synchronized to 10.100.30.250, stratum 3
- 1152232694 2006.07.06 dn728 Jul 6 17:38:14 dn728/dn728 ntpd[2284]: synchronized to 10.100.30.250, stratum 3
- 1152232704 2006.07.06 dn673 Jul 6 17:38:24 dn673/dn673 ntpd[2332]: synchronized to 10.100.26.250, stratum 3
- 1152232706 2006.07.06 dn179 Jul 6 17:38:26 dn179/dn179 ntpd[2267]: synchronized to 10.100.30.250, stratum 3
- 1152232706 2006.07.06 dn307 Jul 6 17:38:26 dn307/dn307 ntpd[2293]: synchronized to 10.100.28.250, stratum 3
- 1152232707 2006.07.06 dn173 Jul 6 17:38:27 dn173/dn173 ntpd[2269]: synchronized to 10.100.28.250, stratum 3
- 1152232710 2006.07.06 dn652 Jul 6 17:38:30 dn652/dn652 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1152232711 2006.07.06 dn190 Jul 6 17:38:31 dn190/dn190 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152232711 2006.07.06 dn537 Jul 6 17:38:31 dn537/dn537 ntpd[2286]: synchronized to 10.100.28.250, stratum 3
- 1152232713 2006.07.06 dn976 Jul 6 17:38:33 dn976/dn976 ntpd[2262]: synchronized to 10.100.26.250, stratum 3
- 1152232714 2006.07.06 dn705 Jul 6 17:38:34 dn705/dn705 ntpd[2285]: synchronized to 10.100.28.250, stratum 3
- 1152232719 2006.07.06 dn811 Jul 6 17:38:39 dn811/dn811 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1152232720 2006.07.06 dn488 Jul 6 17:38:40 dn488/dn488 ntpd[2283]: synchronized to 10.100.28.250, stratum 3
- 1152232722 2006.07.06 dn705 Jul 6 17:38:42 dn705/dn705 ntpd[2285]: synchronized to 10.100.30.250, stratum 3
- 1152232725 2006.07.06 dn568 Jul 6 17:38:45 dn568/dn568 ntpd[2293]: synchronized to 10.100.30.250, stratum 3
- 1152232730 2006.07.06 dn334 Jul 6 17:38:50 dn334/dn334 ntpd[2291]: synchronized to 10.100.30.250, stratum 3
- 1152232739 2006.07.06 dn397 Jul 6 17:38:59 dn397/dn397 ntpd[2283]: synchronized to 10.100.30.250, stratum 3
- 1152232742 2006.07.06 dn4 Jul 6 17:39:02 dn4/dn4 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152232743 2006.07.06 dn678 Jul 6 17:39:03 dn678/dn678 ntpd[2293]: synchronized to 10.100.30.250, stratum 3
- 1152232745 2006.07.06 dn537 Jul 6 17:39:05 dn537/dn537 ntpd[2286]: synchronized to 10.100.30.250, stratum 3
- 1152232746 2006.07.06 dn833 Jul 6 17:39:06 dn833/dn833 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
