- 1141650625 2006.03.06 dn163 Mar 6 05:10:25 dn163/dn163 ntpd[2269]: synchronized to 10.100.30.250, stratum 3
- 1141650626 2006.03.06 dn900 Mar 6 05:10:26 dn900/dn900 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141650627 2006.03.06 dn768 Mar 6 05:10:27 dn768/dn768 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141650633 2006.03.06 dn1001 Mar 6 05:10:33 dn1001/dn1001 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1141650634 2006.03.06 dn976 Mar 6 05:10:34 dn976/dn976 ntpd[2267]: synchronized to 10.100.30.250, stratum 3
- 1141650637 2006.03.06 dn14 Mar 6 05:10:37 dn14/dn14 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1141650637 2006.03.06 dn353 Mar 6 05:10:37 dn353/dn353 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141650641 2006.03.06 dn471 Mar 6 05:10:41 dn471/dn471 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141650642 2006.03.06 dn593 Mar 6 05:10:42 dn593/dn593 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141650644 2006.03.06 dn712 Mar 6 05:10:44 dn712/dn712 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141650649 2006.03.06 dn487 Mar 6 05:10:49 dn487/dn487 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141650652 2006.03.06 dn813 Mar 6 05:10:52 dn813/dn813 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141650664 2006.03.06 dn470 Mar 6 05:11:04 dn470/dn470 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141650673 2006.03.06 dn996 Mar 6 05:11:13 dn996/dn996 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141650675 2006.03.06 dn583 Mar 6 05:11:15 dn583/dn583 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141650677 2006.03.06 dn933 Mar 6 05:11:17 dn933/dn933 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141650680 2006.03.06 dn363 Mar 6 05:11:20 dn363/dn363 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141650683 2006.03.06 dn551 Mar 6 05:11:23 dn551/dn551 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1141650684 2006.03.06 dn263 Mar 6 05:11:24 dn263/dn263 ntpd[2278]: synchronized to 10.100.24.250, stratum 3
- 1141650685 2006.03.06 dn470 Mar 6 05:11:25 dn470/dn470 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141650687 2006.03.06 dn807 Mar 6 05:11:27 dn807/dn807 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141650693 2006.03.06 dn589 Mar 6 05:11:33 dn589/dn589 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1141650694 2006.03.06 dn637 Mar 6 05:11:34 dn637/dn637 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1141650696 2006.03.06 dn33 Mar 6 05:11:36 dn33/dn33 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141650696 2006.03.06 dn363 Mar 6 05:11:36 dn363/dn363 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141650696 2006.03.06 dn524 Mar 6 05:11:36 dn524/dn524 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141650703 2006.03.06 dn358 Mar 6 05:11:43 dn358/dn358 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1141650705 2006.03.06 dn812 Mar 6 05:11:45 dn812/dn812 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141650705 2006.03.06 dn842 Mar 6 05:11:45 dn842/dn842 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141650708 2006.03.06 dn627 Mar 6 05:11:48 dn627/dn627 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141650710 2006.03.06 dn468 Mar 6 05:11:50 dn468/dn468 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141650713 2006.03.06 dn977 Mar 6 05:11:53 dn977/dn977 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141650715 2006.03.06 dn581 Mar 6 05:11:55 dn581/dn581 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141650722 2006.03.06 dn508 Mar 6 05:12:02 dn508/dn508 ntpd[2266]: synchronized to 10.100.28.250, stratum 3
- 1141650725 2006.03.06 dn961 Mar 6 05:12:05 dn961/dn961 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1141650729 2006.03.06 dn750 Mar 6 05:12:09 dn750/dn750 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1141650731 2006.03.06 dn547 Mar 6 05:12:11 dn547/dn547 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141650732 2006.03.06 dn233 Mar 6 05:12:12 dn233/dn233 ntpd[2266]: synchronized to 10.100.28.250, stratum 3
- 1141650735 2006.03.06 dn877 Mar 6 05:12:15 dn877/dn877 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141650738 2006.03.06 dn759 Mar 6 05:12:18 dn759/dn759 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141650738 2006.03.06 dn877 Mar 6 05:12:18 dn877/dn877 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141650739 2006.03.06 dn192 Mar 6 05:12:19 dn192/dn192 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1141650740 2006.03.06 dn965 Mar 6 05:12:20 dn965/dn965 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141650749 2006.03.06 dn192 Mar 6 05:12:29 dn192/dn192 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1141650753 2006.03.06 dn759 Mar 6 05:12:33 dn759/dn759 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141650757 2006.03.06 dn743 Mar 6 05:12:37 dn743/dn743 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141650758 2006.03.06 dn422 Mar 6 05:12:38 dn422/dn422 ntpd[2277]: synchronized to 10.100.24.250, stratum 3
- 1141650767 2006.03.06 dn170 Mar 6 05:12:47 dn170/dn170 ntpd[2266]: synchronized to 10.100.26.250, stratum 3
- 1141650770 2006.03.06 dn815 Mar 6 05:12:50 dn815/dn815 ntpd[2262]: synchronized to 10.100.28.250, stratum 3
- 1141650776 2006.03.06 dn292 Mar 6 05:12:56 dn292/dn292 ntpd[2281]: synchronized to 10.100.28.250, stratum 3
- 1141650776 2006.03.06 dn427 Mar 6 05:12:56 dn427/dn427 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141650777 2006.03.06 dn492 Mar 6 05:12:57 dn492/dn492 ntpd[2265]: synchronized to 10.100.24.250, stratum 3
- 1141650783 2006.03.06 dn191 Mar 6 05:13:03 dn191/dn191 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1141650784 2006.03.06 dn402 Mar 6 05:13:04 dn402/dn402 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1141650785 2006.03.06 dn905 Mar 6 05:13:05 dn905/dn905 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141650792 2006.03.06 dn875 Mar 6 05:13:12 dn875/dn875 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141650796 2006.03.06 dn373 Mar 6 05:13:16 dn373/dn373 ntpd[2262]: synchronized to 10.100.24.250, stratum 3
- 1141650797 2006.03.06 dn34 Mar 6 05:13:17 dn34/dn34 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1141650801 2006.03.06 dn678 Mar 6 05:13:21 dn678/dn678 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141650804 2006.03.06 dn949 Mar 6 05:13:24 dn949/dn949 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1141650805 2006.03.06 dn365 Mar 6 05:13:25 dn365/dn365 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141650809 2006.03.06 dn865 Mar 6 05:13:29 dn865/dn865 ntpd[2262]: synchronized to 10.100.28.250, stratum 3
- 1141650811 2006.03.06 dn1019 Mar 6 05:13:31 dn1019/dn1019 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141650819 2006.03.06 dn461 Mar 6 05:13:39 dn461/dn461 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1141650824 2006.03.06 dn251 Mar 6 05:13:44 dn251/dn251 ntpd[2282]: synchronized to 10.100.30.250, stratum 3
- 1141650831 2006.03.06 dn1015 Mar 6 05:13:51 dn1015/dn1015 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1141650831 2006.03.06 dn358 Mar 6 05:13:51 dn358/dn358 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141650840 2006.03.06 dn185 Mar 6 05:14:00 dn185/dn185 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
