- 1131908423 2005.11.13 dn20 Nov 13 11:00:23 dn20/dn20 ntpd[2249]: synchronized to 10.100.30.250, stratum 3
- 1131908425 2005.11.13 dn753 Nov 13 11:00:25 dn753/dn753 ntpd[2247]: synchronized to 10.100.24.250, stratum 3
- 1131908427 2005.11.13 dn82 Nov 13 11:00:27 dn82/dn82 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908428 2005.11.13 dn804 Nov 13 11:00:28 dn804/dn804 ntpd[2265]: synchronized to 10.100.24.250, stratum 3
- 1131908431 2005.11.13 dn871 Nov 13 11:00:31 dn871/dn871 ntpd[2257]: synchronized to 10.100.26.250, stratum 3
- 1131908436 2005.11.13 dn362 Nov 13 11:00:36 dn362/dn362 ntpd[2245]: synchronized to 10.100.26.250, stratum 3
- 1131908437 2005.11.13 dn107 Nov 13 11:00:37 dn107/dn107 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908441 2005.11.13 dn457 Nov 13 11:00:41 dn457/dn457 ntpd[2247]: synchronized to 10.100.24.250, stratum 3
- 1131908441 2005.11.13 dn972 Nov 13 11:00:41 dn972/dn972 ntpd[2248]: synchronized to 10.100.30.250, stratum 3
- 1131908442 2005.11.13 dn758 Nov 13 11:00:42 dn758/dn758 ntpd[2248]: synchronized to 10.100.24.250, stratum 3
- 1131908443 2005.11.13 dn173 Nov 13 11:00:43 dn173/dn173 ntpd[2246]: synchronized to 10.100.26.250, stratum 3
- 1131908443 2005.11.13 dn31 Nov 13 11:00:43 dn31/dn31 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908445 2005.11.13 dn276 Nov 13 11:00:45 dn276/dn276 ntpd[2249]: synchronized to 10.100.28.250, stratum 3
- 1131908445 2005.11.13 dn973 Nov 13 11:00:45 dn973/dn973 ntpd[2259]: synchronized to 10.100.28.250, stratum 3
- 1131908448 2005.11.13 dn1009 Nov 13 11:00:48 dn1009/dn1009 ntpd[2245]: synchronized to 10.100.26.250, stratum 3
- 1131908449 2005.11.13 dn265 Nov 13 11:00:49 dn265/dn265 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908450 2005.11.13 dn1007 Nov 13 11:00:50 dn1007/dn1007 ntpd[9831]: synchronized to 10.100.24.250, stratum 3
- 1131908454 2005.11.13 dn529 Nov 13 11:00:54 dn529/dn529 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908455 2005.11.13 dn237 Nov 13 11:00:55 dn237/dn237 ntpd[2247]: synchronized to 10.100.28.250, stratum 3
- 1131908455 2005.11.13 dn865 Nov 13 11:00:55 dn865/dn865 ntpd[2247]: synchronized to 10.100.24.250, stratum 3
- 1131908458 2005.11.13 dn314 Nov 13 11:00:58 dn314/dn314 ntpd[2261]: synchronized to 10.100.28.250, stratum 3
- 1131908458 2005.11.13 dn484 Nov 13 11:00:58 dn484/dn484 ntpd[2259]: synchronized to 10.100.24.250, stratum 3
- 1131908460 2005.11.13 dn289 Nov 13 11:01:00 dn289/dn289 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1131908461 2005.11.13 dn115 Nov 13 11:01:01 dn115/dn115 crond(pam_unix)[32497]: session closed for user root
- 1131908461 2005.11.13 dn115 Nov 13 11:01:01 dn115/dn115 crond(pam_unix)[32497]: session opened for user root by (uid=0)
- 1131908461 2005.11.13 dn115 Nov 13 11:01:01 dn115/dn115 crond[32498]: (root) CMD (run-parts /etc/cron.hourly)
- 1131908461 2005.11.13 dn567 Nov 13 11:01:01 dn567/dn567 crond(pam_unix)[2558]: session closed for user root
- 1131908461 2005.11.13 dn567 Nov 13 11:01:01 dn567/dn567 crond(pam_unix)[2558]: session opened for user root by (uid=0)
- 1131908461 2005.11.13 dn567 Nov 13 11:01:01 dn567/dn567 crond[2559]: (root) CMD (run-parts /etc/cron.hourly)
- 1131908462 2005.11.13 dn276 Nov 13 11:01:02 dn276/dn276 ntpd[2249]: synchronized to 10.100.26.250, stratum 3
- 1131908463 2005.11.13 dn18 Nov 13 11:01:03 dn18/dn18 ntpd[2251]: synchronized to 10.100.26.250, stratum 3
- 1131908468 2005.11.13 dn17 Nov 13 11:01:08 dn17/dn17 ntpd[2249]: synchronized to 10.100.28.250, stratum 3
- 1131908468 2005.11.13 dn848 Nov 13 11:01:08 dn848/dn848 ntpd[2256]: synchronized to 10.100.28.250, stratum 3
- 1131908471 2005.11.13 dn880 Nov 13 11:01:11 dn880/dn880 ntpd[2256]: synchronized to 10.100.28.250, stratum 3
- 1131908472 2005.11.13 dn250 Nov 13 11:01:12 dn250/dn250 ntpd[2250]: synchronized to 10.100.26.250, stratum 3
- 1131908472 2005.11.13 dn885 Nov 13 11:01:12 dn885/dn885 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908474 2005.11.13 dn258 Nov 13 11:01:14 dn258/dn258 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1131908477 2005.11.13 dn258 Nov 13 11:01:17 dn258/dn258 ntpd[2262]: synchronized to 10.100.26.250, stratum 3
- 1131908479 2005.11.13 dn889 Nov 13 11:01:19 dn889/dn889 ntpd[2245]: synchronized to 10.100.26.250, stratum 3
- 1131908482 2005.11.13 dn151 Nov 13 11:01:22 dn151/dn151 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908482 2005.11.13 dn259 Nov 13 11:01:22 dn259/dn259 ntpd[10185]: synchronized to 10.100.24.250, stratum 3
- 1131908482 2005.11.13 dn70 Nov 13 11:01:22 dn70/dn70 ntpd[2260]: synchronized to 10.100.26.250, stratum 3
- 1131908482 2005.11.13 dn880 Nov 13 11:01:22 dn880/dn880 ntpd[2256]: synchronized to 10.100.24.250, stratum 3
- 1131908487 2005.11.13 dn172 Nov 13 11:01:27 dn172/dn172 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908487 2005.11.13 dn259 Nov 13 11:01:27 dn259/dn259 ntpd[10185]: synchronized to 10.100.28.250, stratum 3
- 1131908488 2005.11.13 dn259 Nov 13 11:01:28 dn259/dn259 ntpd[10185]: synchronized to 10.100.26.250, stratum 3
- 1131908488 2005.11.13 dn580 Nov 13 11:01:28 dn580/dn580 ntpd[2246]: synchronized to 10.100.28.250, stratum 3
- 1131908491 2005.11.13 dn790 Nov 13 11:01:31 dn790/dn790 ntpd[2262]: synchronized to 10.100.26.250, stratum 3
- 1131908493 2005.11.13 dn408 Nov 13 11:01:33 dn408/dn408 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908496 2005.11.13 dn551 Nov 13 11:01:36 dn551/dn551 ntpd[2256]: synchronized to 10.100.24.250, stratum 3
- 1131908499 2005.11.13 dn287 Nov 13 11:01:39 dn287/dn287 ntpd[2259]: synchronized to 10.100.30.250, stratum 3
